

Технологии обработки информации, (Лек), Поярков А.В., 319/1к

Математическая логика и теория алгоритмов, (Лек), Яшин А.Д., 307/1к

Физика, (Лек), Жданова Л.И., 319/1к

Иностранный язык, (Прак), Иванов А.В., 218/4к

Цифровая экономика и финансовая грамотность, (Прак), Борнякова Е.В., 405/4к
Математическая логика и теория алгоритмов, (Прак), Пупышев В.В., 421/6к
Дифференциальные и разностные уравнения, (Прак), Родионова А.Г., 234/4к

Компьютерная графика, (Лаб), Мышкина Е.И., 321/6к
Технологии обработки информации, (Лаб), Поярков А.В., 311/6к
Физическая культура и спорт (элективные дисциплины), (Прак), Братчикова И.В.



Практикум по программированию, (Лек), Анисимов А.Е., 317/6к

Физика, (Лаб), Милютин И.В., 102/4к
Иностранный язык, (Прак), Иванов А.В., 218/4к
Философия, (Прак), Шадрин А.А., 421/6к
Безопасность жизнедеятельности, (Прак), Римшина А.А., 504/6к
Философия, (Лек), Шадрин А.А., 307/1к





Дифференциальные и разностные уравнения, (Лек), Новикова Е.В., 307/1к

Физическая культура и спорт (элективные дисциплины), (Прак), Братчикова И.В.

Безопасность жизнедеятельности, (Лек), Римшина А.А., 307/1к
Базы данных, (Лек), Анисимов А.Е., 307/1к

Физика, (Прак), Жданова Л.И., 421/6к
Практикум по программированию, (Лаб), Анисимов А.Е., 321/6к
Цифровая экономика и финансовая грамотность, (Лек), Борнякова Е.В., 229/1к
Практикум по программированию, (Лаб), Анисимов А.Е., 321/6к
Компьютерная графика, (Лек), Клочков М.А., 307/1к
Стратегии личностно-профессионального развития, (Прак), Троянская А.И., 234/4к
Стратегии личностно-профессионального развития, (Лек), Троянская А.И., 307/1к

Базы данных, (Лаб), Логов А.Г., 311/6к






Модели и методы разработки программного обеспечения II, (Лаб), 
Модели и методы разработки программного обеспечения II, (Лек), 



